activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,2421221,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2ccc(F)cc2)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '19.38', 'le': '0.39', 'lle': '2.79', 'sei': '8.43'}",CHEMBL452427,,CHEMBL452427,4.87,False,http://www.openphacts.org/units/Nanomolar,782773,=,1,True,=,,IC50,nM,,13500.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,13.5
,2421222,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2ccc(Br)cc2)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '16.59', 'le': '0.42', 'lle': '2.47', 'sei': '8.97'}",CHEMBL452164,,CHEMBL452164,5.18,False,http://www.openphacts.org/units/Nanomolar,782774,=,1,True,=,,IC50,nM,,6600.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,6.6
,2421223,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2ccc(C(F)(F)F)cc2)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '16.60', 'le': '0.34', 'lle': '2.04', 'sei': '8.65'}",CHEMBL499291,,CHEMBL499291,5.00,False,http://www.openphacts.org/units/Nanomolar,782775,=,1,True,=,,IC50,nM,,10000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,10.0
,2421224,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2ccc([N+](=O)[O-])cc2)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '19.90', 'le': '0.40', 'lle': '3.69', 'sei': '5.49'}",CHEMBL449909,,CHEMBL449909,5.54,False,http://www.openphacts.org/units/Nanomolar,782776,=,1,True,=,,IC50,nM,,2900.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,2.9
,2421225,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(-c2cc(NC(=O)CS)[nH]n2)cc1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '18.91', 'le': '0.38', 'lle': '2.43', 'sei': '8.10'}",CHEMBL491851,,CHEMBL491851,4.68,False,http://www.openphacts.org/units/Nanomolar,782777,=,1,True,=,,IC50,nM,,21000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,21.0
,2421226,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2cc(NC(=O)CS)[nH]n2)cc1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '15.68', 'le': '0.31', 'lle': '2.18', 'sei': '6.16'}",CHEMBL491852,,CHEMBL491852,4.13,False,http://www.openphacts.org/units/Nanomolar,782778,=,1,True,=,,IC50,nM,,74500.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,74.5
,2421227,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2ccccc2Cl)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '17.12', 'le': '0.37', 'lle': '1.99', 'sei': '7.94'}",CHEMBL491853,,CHEMBL491853,4.58,False,http://www.openphacts.org/units/Nanomolar,782779,=,1,True,=,,IC50,nM,,26000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,26.0
,2421228,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2cccc(Cl)c2)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '19.62', 'le': '0.42', 'lle': '2.65', 'sei': '9.09'}",CHEMBL491051,,CHEMBL491051,5.25,False,http://www.openphacts.org/units/Nanomolar,782857,=,1,True,=,,IC50,nM,,5600.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,5.6
,2421229,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2ccccc2C(F)(F)F)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '17.07', 'le': '0.35', 'lle': '2.18', 'sei': '8.90'}",CHEMBL489617,,CHEMBL489617,5.14,False,http://www.openphacts.org/units/Nanomolar,782858,=,1,True,=,,IC50,nM,,7200.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,7.2
,2421230,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CS)Nc1cc(-c2cccc(C(F)(F)F)c2)n[nH]1,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '16.22', 'le': '0.33', 'lle': '1.93', 'sei': '8.46'}",CHEMBL489824,,CHEMBL489824,4.89,False,http://www.openphacts.org/units/Nanomolar,782859,=,1,True,=,,IC50,nM,,13000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,13.0
,2421231,[],CHEMBL961806,Inhibition of Clostridium botulinum recombinant Bont/A light chain expressed in Escherichia coli BL21 GOLD,B,,,BAO_0000190,BAO_0000019,assay format,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,,,CHEMBL1153454,Bioorg. Med. Chem.,2009,"{'bei': '24.22', 'le': '0.55', 'lle': '3.11', 'sei': '11.39'}",CHEMBL237370,CINNAMIC ACID HYDROXAMATE,CHEMBL237370,5.62,False,http://www.openphacts.org/units/Nanomolar,782860,=,1,True,=,,IC50,nM,,2400.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,2.4
,2562571,[],CHEMBL997861,Inhibition of Clostridium botulinum neurotoxin serotype A light chain metalloprotease activity,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCNCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](OC(C)=O)CC[C@@]12C,,,CHEMBL1155893,J. Med. Chem.,2008,"{'bei': '6.90', 'le': '0.13', 'lle': '-2.98', 'sei': '4.32'}",CHEMBL450398,,CHEMBL450398,5.00,False,http://www.openphacts.org/units/Nanomolar,769276,=,1,True,=,,IC50,nM,,10000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,10.0
,2562572,[],CHEMBL997861,Inhibition of Clostridium botulinum neurotoxin serotype A light chain metalloprotease activity,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc2c(NCCCNCC34CC5CC(CC(C5)C3)C4)ccnc2c1,,,CHEMBL1155893,J. Med. Chem.,2008,"{'bei': '11.71', 'le': '0.23', 'lle': '-1.00', 'sei': '12.17'}",CHEMBL512475,,CHEMBL512475,4.50,False,http://www.openphacts.org/units/Nanomolar,769530,=,1,True,=,,IC50,nM,,31980.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,31.98
,2562573,[],CHEMBL997861,Inhibition of Clostridium botulinum neurotoxin serotype A light chain metalloprotease activity,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc2c(NCCNCC34CC5CC(CC(C5)C3)C4)ccnc2c1,,,CHEMBL1155893,J. Med. Chem.,2008,"{'bei': '12.77', 'le': '0.25', 'lle': '-0.39', 'sei': '12.78'}",CHEMBL467809,,CHEMBL467809,4.72,False,http://www.openphacts.org/units/Nanomolar,769448,=,1,True,=,,IC50,nM,,18920.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,18.92
,2562574,[],CHEMBL997861,Inhibition of Clostridium botulinum neurotoxin serotype A light chain metalloprotease activity,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc2c(NCCCNCCC34CC5CC(CC(C5)C3)C4)ccnc2c1,,,CHEMBL1155893,J. Med. Chem.,2008,"{'bei': '10.80', 'le': '0.21', 'lle': '-1.59', 'sei': '11.64'}",CHEMBL513526,,CHEMBL513526,4.30,False,http://www.openphacts.org/units/Nanomolar,769446,=,1,True,=,,IC50,nM,,50100.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,50.1
,2562575,[],CHEMBL997861,Inhibition of Clostridium botulinum neurotoxin serotype A light chain metalloprotease activity,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc2c(NCCNCCC34CC5CC(CC(C5)C3)C4)ccnc2c1,,,CHEMBL1155893,J. Med. Chem.,2008,"{'bei': '12.83', 'le': '0.25', 'lle': '-0.57', 'sei': '13.34'}",CHEMBL468844,,CHEMBL468844,4.93,False,http://www.openphacts.org/units/Nanomolar,769445,=,1,True,=,,IC50,nM,,11810.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,11.81
,2562576,[],CHEMBL997861,Inhibition of Clostridium botulinum neurotoxin serotype A light chain metalloprotease activity,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](OC(C)=O)[C@@]21C)[C@@]1(C)CC[C@@H](NCCNc2ccnc4cc(Cl)ccc24)C[C@H]1C[C@H]3OC(C)=O,,,CHEMBL1155893,J. Med. Chem.,2008,"{'bei': '7.26', 'le': '0.14', 'lle': '-2.44', 'sei': '4.45'}",CHEMBL500206,,CHEMBL500206,5.16,False,http://www.openphacts.org/units/Nanomolar,769278,=,1,True,=,,IC50,nM,,7000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,7.0
,2562577,[],CHEMBL997861,Inhibition of Clostridium botulinum neurotoxin serotype A light chain metalloprotease activity,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](OC(C)=O)[C@@]21C)[C@@]1(C)CC[C@H](NCCNc2ccnc4cc(Cl)ccc24)C[C@H]1C[C@H]3OC(C)=O,,,CHEMBL1155893,J. Med. Chem.,2008,"{'bei': '6.71', 'le': '0.13', 'lle': '-2.82', 'sei': '4.12'}",CHEMBL446050,,CHEMBL446050,4.77,False,http://www.openphacts.org/units/Nanomolar,769277,=,1,True,=,,IC50,nM,,17000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,17.0
,3023191,[],CHEMBL1047164,Inhibition of Clostridium botulinum neurotoxin A light chain by FRET-based assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1156013,Bioorg. Med. Chem. Lett.,2009,,CHEMBL237370,CINNAMIC ACID HYDROXAMATE,CHEMBL237370,,False,,857900,<,1,False,<,,IC50,ug,,0.5,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,ug,UO_0000023,,0.5
,3023192,[],CHEMBL1047165,Inhibition of Clostridium botulinum neurotoxin A light chain by HPLC-based assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,,,CHEMBL1156013,Bioorg. Med. Chem. Lett.,2009,,CHEMBL237370,CINNAMIC ACID HYDROXAMATE,CHEMBL237370,,False,http://www.openphacts.org/units/Nanomolar,857900,>,1,True,>,,IC50,nM,,29000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,29.0
,3023194,[],CHEMBL1047165,Inhibition of Clostridium botulinum neurotoxin A light chain by HPLC-based assay,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc2c(NCCCNCCCNc3ccnc4cc(Cl)ccc34)ccnc2c1,,,CHEMBL1156013,Bioorg. Med. Chem. Lett.,2009,"{'bei': '10.89', 'le': '0.22', 'lle': '-1.03', 'sei': '8.00'}",CHEMBL42527,,CHEMBL42527,4.95,False,http://www.openphacts.org/units/Nanomolar,857768,=,1,True,=,,IC50,nM,,11300.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,11.3
,3023200,[],CHEMBL1047165,Inhibition of Clostridium botulinum neurotoxin A light chain by HPLC-based assay,B,,,BAO_0000190,BAO_0000357,single protein format,N=C(N)c1ccc(Oc2ccc(-c3cc4ccc(C(=N)N)cc4[nH]3)cc2)cc1,,,CHEMBL1156013,Bioorg. Med. Chem. Lett.,2009,"{'bei': '14.95', 'le': '0.27', 'lle': '1.32', 'sei': '4.43'}",CHEMBL289577,,CHEMBL289577,5.52,False,http://www.openphacts.org/units/Nanomolar,857917,=,1,True,=,,IC50,nM,,3000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,3.0
,3082373,[],CHEMBL1069850,Inhibition of Clostridium botulinum BoNT/A,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,,,CHEMBL1153125,Bioorg. Med. Chem. Lett.,2010,"{'bei': '26.05', 'le': '0.59', 'lle': '3.54', 'sei': '12.26'}",CHEMBL237370,CINNAMIC ACID HYDROXAMATE,CHEMBL237370,6.05,False,http://www.openphacts.org/units/Nanomolar,877193,=,1,True,=,,IC50,nM,,900.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,0.9
,3082374,[],CHEMBL1069850,Inhibition of Clostridium botulinum BoNT/A,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Cl)ccc1/C=C/C(=O)NO,,,CHEMBL1153125,Bioorg. Med. Chem. Lett.,2010,"{'bei': '28.81', 'le': '0.59', 'lle': '3.93', 'sei': '12.36'}",CHEMBL237776,,CHEMBL237776,6.10,False,http://www.openphacts.org/units/Nanomolar,877199,=,1,True,=,,IC50,nM,,800.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,0.8
,3082375,[],CHEMBL1069850,Inhibition of Clostridium botulinum BoNT/A,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCc1ccc(C(=O)NO)cc1,,,CHEMBL1153125,Bioorg. Med. Chem. Lett.,2010,"{'bei': '21.17', 'le': '0.40', 'lle': '1.85', 'sei': '8.89'}",CHEMBL593815,,CHEMBL593815,4.39,False,http://www.openphacts.org/units/Nanomolar,877202,=,1,True,=,,IC50,nM,,41000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,41.0
,3082381,[],CHEMBL1071240,Inhibition of Clostridium botulinum BoNT/A expressed in rat spinal cord neuron assessed as decrease in SNAP25 cleavage up to 600 uM,B,,,BAO_0000190,BAO_0000019,assay format,O=C1C=CC(=O)C1=Cc1ccc(Cl)cc1Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1153125,Bioorg. Med. Chem. Lett.,2010,,CHEMBL610755,,CHEMBL610755,,False,http://www.openphacts.org/units/Nanomolar,877181,=,1,True,=,,IC50,nM,,600000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,600.0
,3082382,[],CHEMBL1071240,Inhibition of Clostridium botulinum BoNT/A expressed in rat spinal cord neuron assessed as decrease in SNAP25 cleavage up to 600 uM,B,,,BAO_0000190,BAO_0000019,assay format,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1153125,Bioorg. Med. Chem. Lett.,2010,,CHEMBL237370,CINNAMIC ACID HYDROXAMATE,CHEMBL237370,,False,http://www.openphacts.org/units/Nanomolar,877193,=,1,True,=,,IC50,nM,,900000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,900.0
,3082383,[],CHEMBL1071241,Inhibition of Clostridium botulinum BoNT/A expressed in rat spinal cord neuron assessed as cleavage of target protein SNAP25 at 62.5 uM,B,,,BAO_0000190,BAO_0000019,assay format,O=C1C=CC(=O)N1Cc1ccc(Cl)cc1Cl,,,CHEMBL1153125,Bioorg. Med. Chem. Lett.,2010,"{'bei': '16.42', 'le': '0.36', 'lle': '1.78', 'sei': '11.25'}",CHEMBL592938,,CHEMBL592938,4.20,False,http://www.openphacts.org/units/Nanomolar,877188,=,1,True,=,,IC50,nM,,62500.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,62.5
,3082384,[],CHEMBL1071242,Inhibition of Clostridium botulinum BoNT/A expressed in rat spinal cord neuron assessed as cleavage of target protein SNAP25 at 125 uM,B,,,BAO_0000190,BAO_0000019,assay format,O=C1C=CC(=O)N1Cc1ccc(Cl)cc1Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1153125,Bioorg. Med. Chem. Lett.,2010,,CHEMBL592938,,CHEMBL592938,,False,http://www.openphacts.org/units/Nanomolar,877188,=,1,True,=,,IC50,nM,,125000.0,CHEMBL5192,Clostridium botulinum,Botulinum neurotoxin type A,1491,,,IC50,uM,UO_0000065,,125.0
